Constraint,Contingency,Hrs,% Hrs,Total $,Avg $,Max $,Constraint,,Map this to EQ code from mapping document,Mapped monitored lines from bus,Mapped monitored lines from bus Name,Mapped monitored lines To bus,Mapped monitored lines from bus Name,Contingency from bus number,Contingency From bus name,Contingency To bus number,Contingency to bus name
FTST-TNAF 138KV TNAF_FTS_1,SPIGSOL8,4,0.54%,$0.00,$0.00,$0.00,FTST-TNAF,138KV,TNAF_FTS_1,6630,FTST4A,38340,TNAIRPORT41,60385,SOLSTIC,60393,PIGCREE
RANDADO-ZAPATA 138KV RANDAD_ZAPATA1_1,BASE CASE,4,0.54%,$0.00,$0.00,$0.00,RANDADO-ZAPATA,138KV,RANDAD_ZAPATA1_1,8299,ZAPATA4A,8699,RANDADO4A,#N/A,#N/A,#N/A,#N/A
SOUTHABI-VINSON 138KV SOUTHA_VINSON1_1,SCISPUT8,4,0.54%,$0.00,$0.00,$0.00,SOUTHABI-VINSON,138KV,SOUTHA_VINSON1_1,6260,SOUTHABI4A,60355,VINSON4A,6310,PUTN4B,6317,CISC4A
CDCSW-OKCLS 138KV 3160__A,DMCSCDH8,4,0.54%,$0.00,$0.00,$0.00,CDCSW-OKCLS,138KV,3160__A,2493,CCRST_W8,3024,SOKCF2_8,3042,WMRLD1_8,903261,MTCK_W
YELWJCKT-HEXT 69KV HEXT_YELWJC1_1,SJUNYEL9,3,0.40%,"$3,633.36",$4.88,"$2,000.00",YELWJCKT-HEXT,69KV,HEXT_YELWJC1_1,6363,YELWJCKT2A,6368,HEXT2A,6400,JUNCTION,6401,MENPHTP2
LINTERNA-SOLSTICE 138KV LINTER_SOLSTI1_1,XFTS89,3,0.40%,$50.43,$0.07,$50.43,LINTERNA-SOLSTICE,138KV,LINTER_SOLSTI1_1,60383,LINTERNA4A,60385,SOLSTICE4A,6628,FTST2A,69,6630
MAXWELL-HAMILTON 138KV HAMILT_MAXWEL1_1,BASE CASE,3,0.40%,$48.84,$0.07,$47.53,MAXWELL-HAMILTON,138KV,HAMILT_MAXWEL1_1,8257,HAMILTON4B,8998,MAXWELL4A,#N/A,#N/A,#N/A,#N/A
LARDVNTH-LASCRUCE 138KV LARDVN_LASCRU1_1,SDELLAR8,3,0.40%,$25.63,$0.03,$25.63,LARDVNTH-LASCRUCE,138KV,LARDVN_LASCRU1_1,8112,LSCRUCES4A,80013,LARDVNTH4A,8293,LAREDO4A,8645,DEL_MAR4
TRNT-MKLT 69KV MKLT_TRNT1_1,SMCEABS8,3,0.40%,$15.71,$0.02,$15.71,TRNT-MKLT,69KV,MKLT_TRNT1_1,6246,MKLT2A,6247,TRNT2A,6260,SOUTHABI,76317,L_MOORE
CALAVERS-X3 138KV N4_X3_1,DCALHOT8,3,0.40%,$5.64,$0.01,$5.64,CALAVERS-X3,138KV,N4_X3_1,5110,JT_DEELY,5417,STREICH,5110,JT_DEELY,5255,LAREDO1
