Contingency,DeviceName,DeviceType,Action,From Bus Number ,From Bus Name ,To Bus Number ,To Bus Name ,Circuit ID ,,
DBALFIV8,5150 FIVE_PTS 5255 LAREDO1 1,LINE,OUT,5150,FIVE_PTS,5255,LAREDO1,1,,
DBANHE28,5020 BANDERA 5185 GRISSOM 1,LINE,OUT,5020,BANDERA,5185,GRISSOM,1,,
DBANHE28,5020 BANDERA 5200 HELOTES 1,LINE,OUT,5020,BANDERA,5200,HELOTES,1,,
DBARHIC8,7202 L_HICROS 7356 L_MARSFO 1,LINE,OUT,7202,L_HICROS,7356,L_MARSFO,1,,
DBARHIC8,9158 BARTON 9183 COMMONFD 1,LINE,OUT,9158,BARTON,9183,COMMONFD,1,,
DBARMAR8,7202 L_HICROS 7356 L_MARSFO 1,LINE,OUT,7202,L_HICROS,7356,L_MARSFO,1,,
DBARMAR8,9158 BARTON 9263 SALEMWLK 1,LINE,OUT,9158,BARTON,9263,SALEMWLK,1,,
DBASGID8,7310 L_SIMGID 7322 L_BASTCI 1,LINE,OUT,7310,L_SIMGID,7322,L_BASTCI,1,,
DBASGID8,7322 L_BASTCI 7329 L_WEBBER 1,LINE,OUT,7322,L_BASTCI,7329,L_WEBBER,1,,
DBA_THW8,45510 T_H_W__ 45922 JESTER_ 81,LINE,OUT,45510,T_H_W__,45922,JESTER_,81,,
DBA_THW8,45651 BAMMEL_ 45921 JESTER_ 67,LINE,OUT,45651,BAMMEL_,45921,JESTER_,67,,
DBA_THW8,45651 BAMMEL_ 45922 JESTER_ 81,LINE,OUT,45651,BAMMEL_,45922,JESTER_,81,,
DBA_THW8,45781 GEARS__ 45861 HIDDEN6 67,LINE,OUT,45781,GEARS__,45861,HIDDEN6,67,,
DBA_THW8,45781 GEARS__ 45921 JESTER_ 67,LINE,OUT,45781,GEARS__,45921,JESTER_,67,,
DBA_THW8,45861 HIDDEN6 46110 N_BELT_ 67,LINE,OUT,45861,HIDDEN6,46110,N_BELT_,67,,
DBA_THW8,46551 VETRAN_ 48390 VETRAN6 67,LINE,OUT,46551,VETRAN_,48390,VETRAN6,67,,
DBA_THW8,46552 VETRAN_ 48391 VETRAN8 81,LINE,OUT,46552,VETRAN_,48391,VETRAN8,81,,
DBBSJEW5,3380 BIGBRNE_ 3390 JEWETT_S 1,LINE,OUT,3380,BIGBRNE_,3390,JEWETT_S,1,,
DBBSJEW5,3381 BIGBRNW_ 3391 JEWETT_N 1,LINE,OUT,3381,BIGBRNW_,3391,JEWETT_N,1,,
DBBSRCH5,3133 RICHLND2 3381 BIGBRNW_ 1,LINE,OUT,3133,RICHLND2,3381,BIGBRNW_,1,,
DBBSRCH5,3134 RICHLND1 3380 BIGBRNE_ 1,LINE,OUT,3134,RICHLND1,3380,BIGBRNE_,1,,
DBCETMP5,3414 TEMP_SS_ 3687 BELL_E_5 1,LINE,OUT,3414,TEMP_SS_,3687,BELL_E_5,1,,
DBCETMP5,3414 TEMP_SS_ 3687 BELL_E_5 2,LINE,OUT,3414,TEMP_SS_,3687,BELL_E_5,2,,
DBCETNP5,3687 BELL_E_5 39950 TNTNP_O 1,LINE,OUT,3687,BELL_E_5,39950,TNTNP_O,1,,
DBCETNP5,3687 BELL_E_5 39950 TNTNP_O 2,LINE,OUT,3687,BELL_E_5,39950,TNTNP_O,2,,
DBCPMT89,5551 SALTDOME 5555 SHROPSHR 1,LINE,OUT,5551,SALTDOME,5555,SHROPSHR,1,,
DBCPMT89,5554 MARKHAMT 5555 SHROPSHR 1,LINE,OUT,5554,MARKHAMT,5555,SHROPSHR,1,,
DBCPMT89,5554 MARKHAMT 5556 VANVLECK 1,LINE,OUT,5554,MARKHAMT,5556,VANVLECK,1,,
DBCPMT89,5554 MARKHAMT 8984 MRKHMTP2 1,LINE,OUT,5554,MARKHAMT,8984,MRKHMTP2,1,,
DBCPMT89,5556 VANVLECK 5558 VANVLECK 1,LINE,OUT,5556,VANVLECK,5558,VANVLECK,1,,
DBCPMT89,5556 VANVLECK 5560 BAYCITYS 1,LINE,OUT,5556,VANVLECK,5560,BAYCITYS,1,,
DBCPMT89,5562 TENARISS 8111 MAGILL4A 1,LINE,OUT,5562,TENARISS,8111,MAGILL4A,1,,
DBCPMT89,8119 BLESSING 8550 MARKHAM2 1,LINE,OUT,8119,BLESSING,8550,MARKHAM2,1,,
DBCPMT89,8546 BCPMPTP2 8547 BYCTYPM1 1,LINE,OUT,8546,BCPMPTP2,8547,BYCTYPM1,1,,
DBCPMT89,8546 BCPMPTP2 8549 BYCTYPM3 1,LINE,OUT,8546,BCPMPTP2,8549,BYCTYPM3,1,,
DBCPMT89,8546 BCPMPTP2 8984 MRKHMTP2 1,LINE,OUT,8546,BCPMPTP2,8984,MRKHMTP2,1,,
DBCPMT89,8550 MARKHAM2 8984 MRKHMTP2 1,LINE,OUT,8550,MARKHAM2,8984,MRKHMTP2,1,,
DBCVPSA8,40190 BIGVUE_ 41023 LYONDL0 03,LINE,OUT,40190,BIGVUE_,41023,LYONDL0,3,,
DBCVPSA8,40281 CHANLV_ 41023 LYONDL0 03,LINE,OUT,40281,CHANLV_,41023,LYONDL0,3,,
DBCVPSA8,40560 EXPLOR_ 41021 LYONDL0 03,LINE,OUT,40560,EXPLOR_,41021,LYONDL0,3,,
